"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AR",0,0.292869284718579,0.298,0.08,0,4,"AR"
"POPDC31",0,0.292733119203697,0.297,0.101,0,4,"POPDC3"
"ZC2HC1A",0,0.292531490350662,0.451,0.211,0,4,"ZC2HC1A"
"EXOSC3",0,0.292359987416698,0.919,0.854,0,4,"EXOSC3"
"BACE2",0,0.292233926288192,0.604,0.385,0,4,"BACE2"
"MTHFS",0,0.292194519663747,0.496,0.245,0,4,"MTHFS"
"PFN2",0,0.292159493205976,0.779,0.676,0,4,"PFN2"
"ZIM2-AS1",0,0.292030050277686,0.251,0.049,0,4,"ZIM2-AS1"
"ROCK2",0,0.291995469169732,0.854,0.806,0,4,"ROCK2"
"OGFRL11",0,0.291910479117484,0.768,0.69,0,4,"OGFRL1"
"ANXA2",0,0.291894218963163,1,1,0,4,"ANXA2"
"TBC1D31",0,0.291751877347276,0.313,0.08,0,4,"TBC1D31"
"ARHGAP221",0,0.29169824884647,0.411,0.244,0,4,"ARHGAP22"
"RABIF",0,0.291562624003701,0.663,0.468,0,4,"RABIF"
"RWDD2B",0,0.291441578017226,0.459,0.216,0,4,"RWDD2B"
"SDHAF3",0,0.291441203798807,0.726,0.577,0,4,"SDHAF3"
"SF3A3",0,0.291227717623272,0.941,0.89,0,4,"SF3A3"
"BOLA1",0,0.291115386363668,0.456,0.211,0,4,"BOLA1"
"RGS31",0,0.29110520279905,0.452,0.247,0,4,"RGS3"
"SNTA1",0,0.290761411075633,0.366,0.13,0,4,"SNTA1"
"APAF1",0,0.290711974337664,0.407,0.156,0,4,"APAF1"
"LINC01184",0,0.29053993000444,0.559,0.314,0,4,"LINC01184"
"RALGPS2",0,0.290432292808769,0.716,0.62,0,4,"RALGPS2"
"MTERF3",0,0.290042730030889,0.541,0.295,0,4,"MTERF3"
"PKP4",0,0.289864916024486,0.388,0.146,0,4,"PKP4"
"PARN",0,0.289858304967154,0.516,0.267,0,4,"PARN"
"NECTIN1",0,0.289806270445494,0.336,0.105,0,4,"NECTIN1"
"EPG5",0,0.289804857212196,0.432,0.195,0,4,"EPG5"
"TMTC1",0,0.289729120117732,0.36,0.14,0,4,"TMTC1"
"SMAD6",0,0.289611223939432,0.381,0.151,0,4,"SMAD6"
"MAP3K6",0,0.28958352822346,0.316,0.084,0,4,"MAP3K6"
"WDR41",0,0.289579220874856,0.533,0.29,0,4,"WDR41"
"MEX3D",0,0.289339985367855,0.478,0.23,0,4,"MEX3D"
"ANKRD35",0,0.289016315776129,0.339,0.109,0,4,"ANKRD35"
"AKR1B11",0,0.289007001160047,0.962,0.944,0,4,"AKR1B1"
